Original|Predicted|MLI
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16353634178243953##raisedhands > 72.00,-0.12239563153151808##AnnouncementsView > 52.25,-0.11186568013670857##NationalITy <= 3.00,-0.08309113236685614##0.00 < ParentAnsweringSurvey <= 1.00,-0.06638421016264431
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1646316074982334##raisedhands > 72.00,-0.12225386912327219##NationalITy <= 3.00,-0.092994194795341##VisITedResources > 84.00,-0.08242058268489491##0.00 < ParentAnsweringSurvey <= 1.00,-0.06633773970766309
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.15773851178201947##raisedhands > 72.00,-0.12509618400673084##AnnouncementsView > 52.25,-0.1102448610382587##NationalITy <= 3.00,-0.08980152398801411##0.00 < ParentAnsweringSurvey <= 1.00,-0.0761270788358938
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16398797617030444##raisedhands > 72.00,-0.12724509942623535##AnnouncementsView > 52.25,-0.11229209042228093##NationalITy <= 3.00,-0.10454354220161785##ParentAnsweringSurvey <= 0.00,0.08025605952694383
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16125596971785722##raisedhands > 72.00,-0.12365138461763743##AnnouncementsView > 52.25,-0.10868754580813796##ParentAnsweringSurvey <= 0.00,0.07509525009535924##62.50 < VisITedResources <= 84.00,-0.05442014222432596
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16542835138035844##AnnouncementsView <= 14.00,0.10488641385783021##NationalITy <= 3.00,-0.09352739740157291##42.00 < raisedhands <= 72.00,-0.073273781906963##ParentAnsweringSurvey <= 0.00,0.0713277838283383
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16121541646225437##NationalITy > 4.00,0.1535468399961791##AnnouncementsView > 52.25,-0.10443561192407484##PlaceofBirth > 4.00,-0.10377634815575465##0.00 < ParentAnsweringSurvey <= 1.00,-0.07491448364326092
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16691541906069818##AnnouncementsView > 52.25,-0.10949100973134028##PlaceofBirth > 4.00,-0.09929718180476654##42.00 < raisedhands <= 72.00,-0.07466669995691352##0.00 < ParentAnsweringSurvey <= 1.00,-0.07143506198683855
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16501317925545134##raisedhands > 72.00,-0.1274304309674469##AnnouncementsView > 52.25,-0.11811458916634066##VisITedResources > 84.00,-0.08007855016435066##NationalITy <= 3.00,-0.07721010884263302
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16551308937555892##raisedhands > 72.00,-0.12213621093377929##AnnouncementsView > 52.25,-0.10482656441447653##NationalITy <= 3.00,-0.09910756581643998##VisITedResources > 84.00,-0.08386722567178563
