Original|Predicted|MLI
M|M|StudentAbsenceDays <= 0.00,0.18032690181557778##AnnouncementsView <= 14.00,0.10050155545686686##NationalITy <= 3.00,-0.0921195268945374##ParentAnsweringSurvey <= 0.00,0.07752479244249273##PlaceofBirth <= 3.00,0.05747390727187167
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16936848651907851##VisITedResources <= 18.75,0.12981929580797455##AnnouncementsView <= 14.00,0.10066014403269413##0.00 < ParentAnsweringSurvey <= 1.00,-0.08195755559824987##15.00 < raisedhands <= 42.00,0.05058439293152301
M|M|StudentAbsenceDays <= 0.00,0.17083662277228653##AnnouncementsView > 52.25,-0.11364024206185254##NationalITy <= 3.00,-0.1000390218314373##0.00 < ParentAnsweringSurvey <= 1.00,-0.07845000212962597##PlaceofBirth <= 3.00,0.06717343473625743
M|M|StudentAbsenceDays <= 0.00,0.1617326895008125##NationalITy <= 3.00,-0.10572643461751006##0.00 < ParentAnsweringSurvey <= 1.00,-0.06670994730792677##PlaceofBirth <= 3.00,0.0638616037053926##StageID <= 1.00,-0.04086669223781935
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16995239302066054##NationalITy <= 3.00,-0.09164089958490705##VisITedResources > 84.00,-0.08591110765552729##ParentAnsweringSurvey <= 0.00,0.07823848966082787##PlaceofBirth <= 3.00,0.0664489822512321
M|M|StudentAbsenceDays <= 0.00,0.16382019981653742##raisedhands > 72.00,-0.13335002829225664##AnnouncementsView > 52.25,-0.11111592348347239##NationalITy <= 3.00,-0.09520448607159901##0.00 < ParentAnsweringSurvey <= 1.00,-0.07749311025531047
M|M|StudentAbsenceDays <= 0.00,0.17147811804685975##AnnouncementsView > 52.25,-0.11444697242300265##NationalITy <= 3.00,-0.0961217610390504##42.00 < raisedhands <= 72.00,-0.07273195873584823##0.00 < ParentAnsweringSurvey <= 1.00,-0.0655978364751806
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.17295091169325075##NationalITy <= 3.00,-0.0930921875517464##42.00 < raisedhands <= 72.00,-0.07529016015736566##0.00 < ParentAnsweringSurvey <= 1.00,-0.06282720273270398##PlaceofBirth <= 3.00,0.05350050813644394
M|M|StudentAbsenceDays <= 0.00,0.1649405040689205##NationalITy <= 3.00,-0.08969664746424355##ParentAnsweringSurvey <= 0.00,0.06711578307432715##62.50 < VisITedResources <= 84.00,-0.0664033544284884##PlaceofBirth <= 3.00,0.05954771407905929
M|M|NationalITy > 4.00,0.1693485981907171##0.00 < StudentAbsenceDays <= 1.00,-0.16480938668157055##raisedhands > 72.00,-0.1341041304490548##AnnouncementsView <= 14.00,0.09739555986637911##ParentAnsweringSurvey <= 0.00,0.07795216584164284
M|M|StudentAbsenceDays <= 0.00,0.1561446951195161##AnnouncementsView > 52.25,-0.10866698830564511##NationalITy <= 3.00,-0.09930473477271604##0.00 < ParentAnsweringSurvey <= 1.00,-0.07314132126699212##PlaceofBirth <= 3.00,0.05528293183393558
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16851163750797135##0.00 < ParentAnsweringSurvey <= 1.00,-0.060785426026241235##Discussion <= 20.00,0.049683910062150644##StageID <= 1.00,-0.04506933257107224##0.00 < gender <= 1.00,0.04219814023716786
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.17048722954125686##0.00 < ParentAnsweringSurvey <= 1.00,-0.06521111903822063##62.50 < VisITedResources <= 84.00,-0.053387638562467914##StageID <= 1.00,-0.0422053434017672##0.00 < gender <= 1.00,0.039276354161274084
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.18130386231857226##NationalITy > 4.00,0.1677672933506835##AnnouncementsView > 52.25,-0.1252863080177425##PlaceofBirth > 4.00,-0.10561068037325595##ParentAnsweringSurvey <= 0.00,0.08268190388294609
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.1668421415265916##0.00 < ParentAnsweringSurvey <= 1.00,-0.07985312446275063##42.00 < raisedhands <= 72.00,-0.07557656017115344##0.00 < gender <= 1.00,0.05121637558795287##StageID <= 1.00,-0.04091281304016855
M|M|StudentAbsenceDays <= 0.00,0.16325516931988432##ParentAnsweringSurvey <= 0.00,0.07971217833266978##42.00 < raisedhands <= 72.00,-0.07844898860849431##gender <= 0.00,-0.038277717854463336##StageID <= 1.00,-0.034338552174946475
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16484942412080353##AnnouncementsView <= 14.00,0.09859592333051737##0.00 < ParentAnsweringSurvey <= 1.00,-0.07175032083507749##0.00 < gender <= 1.00,0.0512190177310678##1.00 < StageID <= 2.00,0.04183493493181371
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.1592562137758754##AnnouncementsView > 52.25,-0.1111634509649805##NationalITy <= 3.00,-0.08978897444366561##42.00 < raisedhands <= 72.00,-0.07379316570503631##ParentAnsweringSurvey <= 0.00,0.07372205127874815
M|M|StudentAbsenceDays <= 0.00,0.17307753847794566##NationalITy > 4.00,0.1670755710416165##raisedhands > 72.00,-0.13642517714262384##AnnouncementsView > 52.25,-0.1197468877322573##0.00 < ParentAnsweringSurvey <= 1.00,-0.07462035226248544
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.1704931838557458##0.00 < ParentAnsweringSurvey <= 1.00,-0.07443480310689733##42.00 < raisedhands <= 72.00,-0.06749545305696102##gender <= 0.00,-0.05136855720612851##StageID <= 1.00,-0.04954718843587258
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16297087035846208##VisITedResources <= 18.75,0.12885616732470678##AnnouncementsView <= 14.00,0.10003729006575986##0.00 < ParentAnsweringSurvey <= 1.00,-0.0756212134437473##0.00 < gender <= 1.00,0.05464877526788623
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.15927617348304138##0.00 < ParentAnsweringSurvey <= 1.00,-0.0693649682482347##15.00 < raisedhands <= 42.00,0.04880950621968716##gender <= 0.00,-0.0402240654630168##StageID <= 1.00,-0.03626051553666909
