Original|Predicted|MLI
M|M|StudentAbsenceDays <= 0.00,0.18032690181557778##AnnouncementsView <= 14.00,0.10050155545686686##NationalITy <= 3.00,-0.0921195268945374##ParentAnsweringSurvey <= 0.00,0.07752479244249273##PlaceofBirth <= 3.00,0.05747390727187167
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16353634178243953##raisedhands > 72.00,-0.12239563153151808##AnnouncementsView > 52.25,-0.11186568013670857##NationalITy <= 3.00,-0.08309113236685614##0.00 < ParentAnsweringSurvey <= 1.00,-0.06638421016264431
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.1646316074982334##raisedhands > 72.00,-0.12225386912327219##NationalITy <= 3.00,-0.092994194795341##VisITedResources > 84.00,-0.08242058268489491##0.00 < ParentAnsweringSurvey <= 1.00,-0.06633773970766309
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16936848651907851##VisITedResources <= 18.75,0.12981929580797455##AnnouncementsView <= 14.00,0.10066014403269413##0.00 < ParentAnsweringSurvey <= 1.00,-0.08195755559824987##15.00 < raisedhands <= 42.00,0.05058439293152301
L|L|StudentAbsenceDays <= 0.00,0.17603575940231017##NationalITy > 4.00,0.17223399400907763##VisITedResources <= 18.75,0.12274687974253588##PlaceofBirth > 4.00,-0.10787984068111524##ParentAnsweringSurvey <= 0.00,0.07037244968750603
H|M|0.00 < StudentAbsenceDays <= 1.00,-0.16243895064524533##raisedhands > 72.00,-0.11980515785007725##AnnouncementsView > 52.25,-0.10557462895024906##NationalITy <= 3.00,-0.0851919852725615##ParentAnsweringSurvey <= 0.00,0.06747101308060799
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.15773851178201947##raisedhands > 72.00,-0.12509618400673084##AnnouncementsView > 52.25,-0.1102448610382587##NationalITy <= 3.00,-0.08980152398801411##0.00 < ParentAnsweringSurvey <= 1.00,-0.0761270788358938
M|M|StudentAbsenceDays <= 0.00,0.17083662277228653##AnnouncementsView > 52.25,-0.11364024206185254##NationalITy <= 3.00,-0.1000390218314373##0.00 < ParentAnsweringSurvey <= 1.00,-0.07845000212962597##PlaceofBirth <= 3.00,0.06717343473625743
L|M|0.00 < StudentAbsenceDays <= 1.00,-0.16548761161797215##ParentAnsweringSurvey <= 0.00,0.07622280321654001##StageID <= 1.00,-0.05045395287609332##15.00 < raisedhands <= 42.00,0.04983160468383556##14.00 < AnnouncementsView <= 32.00,0.04845849005324264
M|H|0.00 < StudentAbsenceDays <= 1.00,-0.16248057335752147##AnnouncementsView > 52.25,-0.10768410709652015##NationalITy <= 3.00,-0.08288309766101318##62.50 < VisITedResources <= 84.00,-0.07451942675600258##0.00 < ParentAnsweringSurvey <= 1.00,-0.06946402471078988
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16398797617030444##raisedhands > 72.00,-0.12724509942623535##AnnouncementsView > 52.25,-0.11229209042228093##NationalITy <= 3.00,-0.10454354220161785##ParentAnsweringSurvey <= 0.00,0.08025605952694383
L|L|StudentAbsenceDays <= 0.00,0.17519682132607584##raisedhands <= 15.00,0.15506418603629998##VisITedResources <= 18.75,0.12503816213308933##NationalITy <= 3.00,-0.10122735693562701##ParentAnsweringSurvey <= 0.00,0.0810445304739308
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16125596971785722##raisedhands > 72.00,-0.12365138461763743##AnnouncementsView > 52.25,-0.10868754580813796##ParentAnsweringSurvey <= 0.00,0.07509525009535924##62.50 < VisITedResources <= 84.00,-0.05442014222432596
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16542835138035844##AnnouncementsView <= 14.00,0.10488641385783021##NationalITy <= 3.00,-0.09352739740157291##42.00 < raisedhands <= 72.00,-0.073273781906963##ParentAnsweringSurvey <= 0.00,0.0713277838283383
H|M|0.00 < StudentAbsenceDays <= 1.00,-0.1599195050777497##VisITedResources <= 18.75,0.12092614295786794##0.00 < ParentAnsweringSurvey <= 1.00,-0.0701359310236906##42.00 < raisedhands <= 72.00,-0.06479364084983213##Discussion > 70.00,-0.04940112435068483
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16121541646225437##NationalITy > 4.00,0.1535468399961791##AnnouncementsView > 52.25,-0.10443561192407484##PlaceofBirth > 4.00,-0.10377634815575465##0.00 < ParentAnsweringSurvey <= 1.00,-0.07491448364326092
M|M|StudentAbsenceDays <= 0.00,0.1617326895008125##NationalITy <= 3.00,-0.10572643461751006##0.00 < ParentAnsweringSurvey <= 1.00,-0.06670994730792677##PlaceofBirth <= 3.00,0.0638616037053926##StageID <= 1.00,-0.04086669223781935
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.16995239302066054##NationalITy <= 3.00,-0.09164089958490705##VisITedResources > 84.00,-0.08591110765552729##ParentAnsweringSurvey <= 0.00,0.07823848966082787##PlaceofBirth <= 3.00,0.0664489822512321
M|M|StudentAbsenceDays <= 0.00,0.16382019981653742##raisedhands > 72.00,-0.13335002829225664##AnnouncementsView > 52.25,-0.11111592348347239##NationalITy <= 3.00,-0.09520448607159901##0.00 < ParentAnsweringSurvey <= 1.00,-0.07749311025531047
H|M|0.00 < StudentAbsenceDays <= 1.00,-0.16055317269264507##AnnouncementsView > 52.25,-0.1194897276101815##NationalITy <= 3.00,-0.09658132428581923##VisITedResources > 84.00,-0.0854918178734773##0.00 < ParentAnsweringSurvey <= 1.00,-0.0695565633910863
M|M|StudentAbsenceDays <= 0.00,0.17147811804685975##AnnouncementsView > 52.25,-0.11444697242300265##NationalITy <= 3.00,-0.0961217610390504##42.00 < raisedhands <= 72.00,-0.07273195873584823##0.00 < ParentAnsweringSurvey <= 1.00,-0.0655978364751806
M|H|0.00 < StudentAbsenceDays <= 1.00,-0.1735950883306224##raisedhands <= 15.00,0.16044570276107764##NationalITy <= 3.00,-0.09229816211922352##VisITedResources > 84.00,-0.08791440858136745##0.00 < ParentAnsweringSurvey <= 1.00,-0.07636743814260102
L|L|StudentAbsenceDays <= 0.00,0.16617394928274704##VisITedResources <= 18.75,0.13204068623174472##AnnouncementsView <= 14.00,0.11134356818123957##NationalITy <= 3.00,-0.09773103830419633##ParentAnsweringSurvey <= 0.00,0.07314297092692594
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16691541906069818##AnnouncementsView > 52.25,-0.10949100973134028##PlaceofBirth > 4.00,-0.09929718180476654##42.00 < raisedhands <= 72.00,-0.07466669995691352##0.00 < ParentAnsweringSurvey <= 1.00,-0.07143506198683855
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16501317925545134##raisedhands > 72.00,-0.1274304309674469##AnnouncementsView > 52.25,-0.11811458916634066##VisITedResources > 84.00,-0.08007855016435066##NationalITy <= 3.00,-0.07721010884263302
L|L|StudentAbsenceDays <= 0.00,0.17695586466742363##VisITedResources <= 18.75,0.12924056294674033##AnnouncementsView <= 14.00,0.11276116155800311##NationalITy <= 3.00,-0.09152543384037404##PlaceofBirth <= 3.00,0.0726593499718896
H|H|0.00 < StudentAbsenceDays <= 1.00,-0.16551308937555892##raisedhands > 72.00,-0.12213621093377929##AnnouncementsView > 52.25,-0.10482656441447653##NationalITy <= 3.00,-0.09910756581643998##VisITedResources > 84.00,-0.08386722567178563
M|M|0.00 < StudentAbsenceDays <= 1.00,-0.17295091169325075##NationalITy <= 3.00,-0.0930921875517464##42.00 < raisedhands <= 72.00,-0.07529016015736566##0.00 < ParentAnsweringSurvey <= 1.00,-0.06282720273270398##PlaceofBirth <= 3.00,0.05350050813644394
M|M|StudentAbsenceDays <= 0.00,0.1649405040689205##NationalITy <= 3.00,-0.08969664746424355##ParentAnsweringSurvey <= 0.00,0.06711578307432715##62.50 < VisITedResources <= 84.00,-0.0664033544284884##PlaceofBirth <= 3.00,0.05954771407905929
